Active Inventory (Detail) - Scheduler Report,,,,,,,,,,,,,,,,,,,,,
Ezer auto,,,,,,,,,,,,,,,,,,,,,
3224 N 30th St Omaha NE 68111,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run By: SYSTEM,,,,,,,,,,,,,,,,,,,,,
Run Date: 11/02/2025 11:04 PM GMT-08:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vehicle Info,,,,,,,,,,,,,Price,,Cost,,,,Valuation,,Price Proof Points
Vin,JH4KB16545C003838,Status,IN INVENTORY,Sale Type,BOTH,Stock #,9,,Odometer,"153,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$2,400.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,700.00",Vehicle Cost,"$2,400.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2009 JEEP PATRIOT SPORT UTILITY 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,ROATAN,Retail Price,"$13,461.00",Total Cost,"$6,212.00",,,,,No price proof points available.
Vin,1J4FF28B69D145957,Status,IN INVENTORY,Sale Type,BOTH,Stock #,8,,Odometer,"98,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,$137.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$13,461.00",Vehicle Cost,"$1,700.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$4,512.00",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2012 RAM 1500 QUAD CAB SLT PICKUP 4D 6 1/3 FT,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,ROATAN,Retail Price,"$34,038.00",Total Cost,"$11,988.00",,,,,No price proof points available.
Vin,1C6RD7GT8CS120682,Status,IN INVENTORY,Sale Type,BOTH,Stock #,7,,Odometer,"135,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$2,737.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$34,038.00",Vehicle Cost,"$7,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
